Section,Subsection,Content
Get around,By Tramlink,the tramlink network which is operated aslondon trams is centred oncroydon where it runs on streetlevel tracks around the croydon loop providing transit to an area not wellserved by the tube or national rail route 3 wimbledon to new addington  green on the tramlink map is the most frequent service running every 7 or 8 minutes monday to saturday daytime and every 15 minutes at all other times beckenham is served by routes 1 and 2 yellow and red on the tramlink map which terminate at elmers end and beckenham junction respectively all services travel around the loop via west croydon and run every 10 minutes monday to saturday daytime and every 30 minutes at all other times between arena and sandilands these two services serve the same stops
Get around,On foot,london is a surprisingly compact city making it a walkers delight in many instances walking is the quickest method of transport between two points because britain drives on the left hand side of the road for most foreign visitors it can be all too easy to forget that traffic will come at you from the opposite direction than you are used to when crossing a street  for this reasonremember to look right when you cross the road if you are using a pedestrian crossing dont risk it even if you cant see any traffic coming wait for the green man to appear and then cross quickly and carefully some pedestrian crossings now have countdown timers to indicate how long it will be safe to cross for particularly on central londons busiest streets it is easy to spot native londoners as they weave in and out of the large crowds at fast speed tourists who cannot will stand out make sure youre aware of your surroundings when in london—londoners are usually very considerate but a group of tourists standing in the middle of the pavement can be a major annoyance try standing to the side of busy pavements and footpaths especially if youre with a group in some instances it can be faster to walk some or all of your intended route instead of taking the tube by looking at a map youll notice that some central london tube stations are a lot closer together than the tube map would make you believe tfl haveproduced a map detailing the walking time and number of steps between various popular stations here are some more specific instructions for some of the stations that you are likely to use as a tourist oxford circus station can become extremely busy on weekday evenings and if convenient it is worth walking to other tube stations
Get around,By bicycle,cycling in the united kingdom the rules for cyclists are available in the british government publicationthe highway code due to the expense of other forms of transport and the compactness of central londoncyclingis a tempting option free cycle maps can usually be obtained from your local tube station or bike shop most major roads in london will have a bus lane which is restricted to buses taxis and bicycles there are also many signposted cycle routes and cycle lanes but the kind of contiguous cycle lane network found in many other european cities does not exist the safest option is to stick to minor residential roads where traffic can be surprisingly calm outside rush hours critical mass london is a cycling advocacy group which meets for regular rides through central london at 6pm on the last friday of each month rides start from the southern end of waterloo bridge thelondon cycling campaignis an advocacy group for london cyclists with active local groups in most of the citys boroughs it is recognised by local and regional government as the leading voice for cycling in the capital normally a cyclist should keep to the left of the lane when cycling on a road with traffic to allow fastermoving traffic to overtake however it is legal for a cycle to dominate a lane by maintaining a central road position like any other vehicle this will make you unpopular with any traffic behind you but it is recommended in london on approach to righthand turns at junctions making a righthand turn from the normal leftposition means crossing the lane of traffic which may often ignore you and any turn signals you might have been using leading to potential accidents permission to take bikes on trains is very limited in london due to overcrowding nonfolding bikes can be taken only on limited sections of the tube network mostly only on the aboveground sections outside peak hours for this reason folding bicycles are becoming increasingly popular mostnational railoperators allow bicycles outside peak hours london offers a bicycle hire scheme known assantander cycles operated by transport for london they are colloquially referred to as boris bikes after boris johnson as they were introduced during his period as mayor of london docking stations can be found across central london and slightly further out into areas such as brixton the docklands hammersmith and the queen elizabeth olympic park the bikes all coloured a distinctive red can be unlocked at any hire dock and then ridden to wherever you want after each journey the bike must be returned to a docking station on the network by locking the bike into the rack and receiving confirmation via a green light you pay via a credit or debit card and two payment plans exist daily and yearly a £2 daily plan as of october 2020 gives access to the system for an unlimited number of rides for 24 hours a fee for the first 30 minutes of each ride is included in the initial payment for every other 30 minutes above that it costs extra £2 a yearly plan costs £90 for a full year thesantander cycles appshows where bikes are available and can be used to make the hiring process faster although sometimes the app doesnt show a journey as finished even if the bike was successfully docked back at a station if in doubt its better to check your activity log on the official site the santander bikes main competitor islime whose fleet of electric bikes can be parked almost anywhere in much of inner london not just at docking stations download the app and set up a payment method first then use your phone to scan a bike and unlock it rides are £1 plus £015 per minute february 2021 cycle lanesprovide onroad and off road routes the network is not comprehensive and on the road lanes vary in quality and size normally 12 m wide some are indicated just with a stencilled image of a bike on the road if the line between the traffic lane and cycle lane is solid then vehicles may sometimes enter the space a dashed line indicates a recommended cycle lane and motorists may make use of this road space but its recommended that they dont londonscyclewaysconnect destinations across the capital and include cycle superhighways and quietwayscycle superhighwaysrun into central london from outer london and across the capital they are designed to provide safe fast routes for cyclists who commute and are painted blue to indicate where they are some are segregated from the road but some may be on the main carriagewayquietwayslink key destinations in the capital but utilise side streets waterways and parks instead of busy roads thetowpathsin north london along the grand union canal and regents canal and in londons parks and other green areas provide a trafficfree cycle path through the capital the grand union canal connects paddington to camden and the regents canal connects camden to islington mile end and limehouse in east london it takes about 3040 minutes to cycle from paddington station to islington along the towpathspedestrians have priorityon towpaths  slow down and respect their right of the way
Get around,By taxi,london has two types of taxis the famousblack cab and socalledminicabs black cabs are the only ones licensed to ply for hire ie pick people up off the street while minicabs are more accurately described as private hire vehicles and need to be prebooked the famousblack cabof london not always black can be hailed from the kerb or found at one of the many designated taxi ranks it is possible to book black cabs by phone for a fee but if you are in central london it will usually be quicker to hail one from the street their amber taxi light will be on if they are available drivers must pass a rigorous exam of central londons streets known as the knowledge to be licensed to drive a black cab this means they can supposedly navigate you to almost any london street without reference to a map they are a cheap transport option if there are five passengers as they do not charge extras and many view them as an essential experience for any visitor to london black cabs charge by distance and by the minute are nonsmoking and have a minimum charge of £300 as of 2019 tipping is not mandatory in either taxis or minicabs despite some drivers expectations  use your discretion if you like the service you may tip if the ride has been uncomfortable or unsafe or if the driver was rude dont most londoners will simply round up to the nearest pound taxis are required by law to take you wherever you choose within greater london if their taxi light is on when you hail them however some especially older drivers dislike leaving the centre of town or going south of the river thames a good way to combat being left at the side of the curb is to open the back door or even get into the cab before stating your destination minicabsare normal cars which are licensed hire vehicles that you need to book by phone or at a minicab office they generally charge a fixed fare for a journey best agreed before you get in the car minicabs are usually cheaper than black cabs although this is not necessarily the case for short journeys licensed minicabs display a transport for london tfl licence  usually in the front window one of the features of the license plate is a blue version of the famous london transport roundel a list of licensed minicab operators can be found attfl cabwise tfl operate a service calledcabwise which will determine your location and provide three local licensed cab numbers if you have an iphone or an android smartphone you can use the cabwise application search your platforms app store or textcabto 60835 be careful  this might not work from some phones you can also use an app such asmytaxidead link which allows you to summon a black cab to your location and will provide a map and approximate wait time for your taxi to arrive most railway stations will also be able to provide a list of good local cab firms many will display this outside the station even after the last train of the night has gone some areas in london are poorly served by black cabs particularly late at night this has led to illegal minicabs operating who are just opportunistic people with a car looking to make some fast money some of these illegal operators can be fairly aggressive in their attempts to find customers and its now barely possible to walk late at night through any part of london with a modicum of nightlife without being approached if youve booked a licensed minicab to collect you from a venue the driver or operator should be able to give you additional details an example being the phonenumber you booked them from to confirm they are legitimate you shouldavoidminicabs touting for business off the street and either take a black cab book a licensed minicab by telephone or take a night bus not only is it illegal for unlicensed minicabs to ply for trade on the street these illegal cabs are also regularly unsafe with a risk of robbery or assault a possibility given that the operators of such illegal minicabs are in no way checked or vetted for past offences always rememberif its not licensed and its not prebooked its just a strangers car never get into an unbooked minicab uberis available in london and generally charge cheaper fares than black cabs although higher surge prices are charged at times of high demand vehicles can only be booked via the smartphone app
Get around,By car,londoners who drive will normally take public transport in the centre follow their example unless you have a disability there is no good reason whatsoever to drive a car in central london driving in central london is a slow frustrating expensive and often unnecessary activity there are many sorts of automatic enforcement cameras and it is difficult and expensive to park driving outside of central london is easier but traffic can still be an issue and most tourists wont head out that far unless they have a reason for those with disabilities driving can be much more convenient than using public transport if disabled and a resident of a member state of the eu then two cars can be permanently registered for free for the congestion charge theres aspeed limitof 20 mph 32 kmh on most roads inside the central london congestion charge zone and several boroughs have boroughwide 20 limits limits elsewhere follow uk norms seedriving in the united kingdomspeed limitsfor details driving into central london on weekdays during daylight hours incurs a hefty charge called the congestion charge with very few exemptions rental cars also attract the charge cameras and mobile units record and identify the number plates and registration details of all vehicles entering the charging zone with high accuracy thecentral london congestion chargemf 7am6pm excluding public holidays attracts a fee of £15 numerous payment options exist by phone online at convenience stores displaying the red c logo in the window and by voucher failure to pay the charge by midnight the next charging day incurs a hefty automatic fine of £160 £80 if paid within 2 weeks there are additional charges and penalties for vehicles not meeting certain emissions standards despite the congestion charge london  like most major cities  continues to experience traffic snarls these are of course worse on weekdays during peak commuting hours ie 30930am and 47pm at these times public transport and especially the tube usually offers the best alternative for speed and reduced hassle one good tip is that outside advertised restricted hours usually on a sunday parking on asingleyellow line is permissible parking on a red line or adoubleyellow line is never permissible and heavily enforced find and read the parking restrictions carefully parking during weekdays and on saturday can also mean considerable expense in parking fees fees and restrictions are ignored at your extreme financial peril issuing fines clamping andor towing vehicles without warning has become a veritable new industry for borough councils staffed by armies of traffic wardens also watch out for marked parking bays as thesealwayshave restrictions many are resident parking only between certain hours and you will be fined if you park during these hours without a permit some bays also have restrictions on how long you can park in them for and these can be confusing if in doubt dont park if you are driving to your destination then its safest to find a dedicated private car park nearby these may be eyewateringly expensive but parking on the roads is a lottery with low odds of you winning two large car park operators arencpandqpark motorcycles and scooters are fairly common in london as they can pass stationary cars can usually be parked for free and are exempt from the congestion charge scooters and bikes with automatic transmission are much more preferable  a manuallygeared racing bike is completely impractical unless you have excellent clutch control although it has to be said you will see plenty of them being ridden aggressively by motorcycle couriers and locals as it can be the fastest way to get around likewise to bicycles car drivers can sometimes show disregard to anyone on two wheels and larger vehicles have an unwritten priority so take care when crossing junctions helmets are mandatory parking for bikes is usually free  there are designated motorcycleparking areas on some sidestreets and some multilevel car parks will have bike parking on the ground level
Get around,By boat,london is now promoting a network of river bus and pleasure cruise services along the river thames from hampton court in the west to woolwich arsenal in the eastlondon river servicespart of transport for london manages regular commuter boats and a network of piers all along the river and publishes timetables andriver mapssimilar to the famous tube map while boat travel may be slower and a little more expensive than tube travel it offers an extremely pleasant way to cross the city with unrivalled views of the london skyline sailing under tower bridge is an unforgettable experience boats are operated by private companies and they have a separate ticketing system from the rest of london transport however if you have a travelcard you get a 33 discount on most boat tickets many boat operators offer their own oneday ticket  ask at the pier kiosks generally tickets from one boat company are not valid on other operators services oyster cards can be used as payment for the clipperstyled commuter services but not for tour boats all the central london sights in westminster and the south bank tourist attractions are easily accessible by boat as are consider a trip along an old victorian canal through the leafy suburbs of north london thelondon waterbus companyruns scheduled services more in summer fewer in winter from little venice to camden lock with a stop at the london zoo pick up only the 45minute trip along regents canal is a delightful way to travel
Get around,By skate,inline skating on roads and pavements sidewalks is completely legal except in the squaremile of thecity of london roads are not the greatest but easily skateable central london drivers are more used to skaters than those in the outskirts
Get around,By cable car,thelondon cable carbranded for sponsorship reasons asifs cloud cable car formerly emirates air line is a cable car that runs across the river thames in east london giving panoramic views of the surrounding area and beyond it connects the greenwich peninsula on the south bank near the o2 and the royal docks on the north bank near the excel exhibition centre with the greenwich peninsula terminal connecting to north greenwich tube station on the jubilee line and the royal docks terminal connecting to royal victoria dlr station although it is part of the tfl network and uses oyster cards the london cable car is mostly a tourist attraction and is therefore at its quietest during the week it tends to be busiest when there is a large event at the excel exhibition centre or a popular concert at the o2 the cable car service sometimes finishes earlier than the tube and dlr if you are travelling to the o2 for an event that finishes late you should have an alternative means in mind for getting back across the river
See,,i have sailed the world beheld its wondersfrom thedardanellesto the mountains ofperubut theres no place like london —stephen sondheimsweeney todd london with children london can be stressful with kids – checklondon with childrenfor slightly less stressful sightseeing however it is a breeze with children over 7 transport for london itineraries feeling overwhelmed not sure how to begin planning your trip transport for london have produced their ownuseful list of itineraries for tourists they include famous landmarks and iconic transport icons on their various public transport networks among others london is a huge city so all individual listings are in the appropriatedistrictarticles and only an overview is presented here
See,Museums and galleries,central london hosts an outstanding collection of worldclass museums and galleries several of truly iconic status even better london is unique among global capitals in that the majority of the museums have no entrance charges allowing visitors to make multiple visits with ease special or temporary exhibitions usually attract an admission charge london museums and galleries with no general admission charge free entry include aside from these world famous establishments there is an almost unbelievable number of minor museums in london covering a very diverse range of subjects the british government lists over 240 genuine museums in the city a few notable examples
See,Parks,the green lungs of london are themany parks great and small scattered throughout the city includinghyde parkst james parkandregents park most of the larger parks have their origins in royal estates and hunting grounds and are still owned by the crown despite their public access
See,Blue Plaques,english heritage runs theblue plaquesprogramme in london blue plaques celebrate great figures of the past and the buildings that they inhabited these are among the most familiar features of the capital’s streetscape and adorn the façades of buildings across the city since the first plaque was erected in 1867 the number has grown steadily and there are now more than 800 recipients are as diverse as wolfgang amadeus mozart sigmund freud charles de gaulle jimi hendrix and karl marx look out for these around the city
See,London Pass,whereas some london museums offer free entry some other top london attractions are ridiculously expensive for example entry to westminster abbey costs £20 per person adult and entry to the tower is £2150 per adult if bought online 2017 these prices can be sometimes mitigated by a purchase of london pass which needs to be done at thelondon pass website the pass comes in several varieties and gives access to over 60 attractions including both westminster abbey and the tower for example a day pass costs £62 for an adult 2017 the best strategy if one wants to visit several expensive highprofile attractions is to buy a day pass and to try visiting all of them in the same day this requires some advanced planning and will not give you much time at each place you visit  for example it can take an hour on public transport to travel between the tower of london and london zoo
Do,,london is a huge city so all individual listings are in the appropriatedistrictarticles to make the most of the citys tremendous cultural offerings performing arts museums exhibitions clubs eateries and numerous others visitors will do well to pick up a copy of a cultural magazine liketime out londonavailable at most corner shops and newsagents which gives detailed information and critiques on whats around town including show times and current attractions thetime out london websitealso has major shows listed there is also apps available although the print version tends to be more detailed
Do,Live music,london is one of the best cities in the world for concerts spanning from new musical trends to wellknown bands between huge concert facilities and small pubs there are hundreds of venues that organise and promote live music every week many concerts especially in smaller or less known places are free so there is plenty of choice even for tourists on a budget london has long been a launchpad for alternative movements from the mods of the 1960s punks of the 70s new romantics of the 80s the britpop scene of the 90s and the indie rock and rock movements in the 21st century it has one of the worlds most lively live music scenes any band heading a british european or world tour will play london not to mention the local talent londons music scene is incredibly diverse covering all genres of music from electrojazz to deathmetal and all sizes of bands from the u2s and rolling stones of the world to bands that disband after their first gig this diversity is reflected in prices as a rough guide £40 and up for top 40 bands in arenasized venues £20 and up for established bands in midsized venues £10 or more for upandcoming bands and club nights in smaller venues £5 and up for new bands in bars and pubs as of 2024 london has hundreds of venues spread out over the city and the best way to know whats going on where is to browse online ticket agenciesmusic magazines gig directories and bands social media pages a few areas which have higher concentrations of pubs and venues than others kilburn in north west london has long been known as an irish area though their numbers have somewhat declined a visit to a local pub will show their influence remains today
Do,Theatre,the west end especially the areas concentrated around leicester square covent garden shaftesbury avenue and haymarket is one of the worlds premier destinations for theatre including musical theatre covent garden has the only actorsponsored school in the city theactors centredead link in the centre of leicester square there is an official halfpricetktsbooth be wary of other ticket offices including those claiming to be the official halfprice ticket office  as these may have higher prices and have been known to sell fake tickets for uptodate listings see the weekly magazinetime outor check theofficial london theatresite the south bank is another area well known for world class theatre and is home to the national theatre and the globe theatre the latter of which is londons only thatched building and an attraction in itself each globe performance has over 700 £5 tickets londons theatre scene outside of these two main districts is known as the fringe several of the larger and more established fringe theatres are an excellent way to see top quality productions of plays that may move to the west end but at lower than west end prices the most significant of these are
Learn,,universities in london london attracts more students from overseas than any other city in the world and is home to a huge variety of academic institutions its universities include some of the oldest and most prestigious in the world theuniversity of londonis a federal university system with many constituent colleges though for all practical purposes each constituent college operates as a separate universitylondon school of economics and political scienceis located on the boundary of covent garden and holborn in westminster 18 nobel prize winners and 50 world leaders have studied here the school offers a wellregarded lecture programme that is open to the public speakers have included tony blair bill clinton the dalai lama and paul krugman event schedule and ticket information available from the lse websiteuniversity college londonacademic research is cited more than any other university in the uk and its courses are regarded as among the best in britain the campus is located just north of the british museum in the literary area of bloomsbury notable alumni include mahatma gandhi alexander graham bell and the british philosopher jeremy bentham whose mummified body is on display at the school in a wooden cabinet called the autoiconimperial college londonis the uks leading university specialising in science engineering business and medicine the campus is located in a beautiful area of south kensington surrounded by numerous cultural institutions including the natural history museum and the victoria  albert museum notable alumni include sir alexander fleming thomas henry huxley and hg wells others includekings college londonschool of oriental and african studiessoasqueen mary university of londonlondon business schooluniversity of middlesexand theuniversity of westminster
Learn,Learn English,london is a natural place to learn and improve spoken and written english there are a huge range of options from informal language exchange services to evening classes and formal language schools there are unaccredited schools charging hefty fees and offering qualifications that are viewed as worthless if choosing a course from a privatelyrun school or college it is important to ensure the institution is accredited by the british council some links to british council accredited schools
Work,,london is one of the worlds leading financial centres and so professional services is the main area of employment it is best to check with recruiters and staffing agencies london is hugely popular as a working holiday destination  work in bars and the hospitality industry is relatively easy to find wages are generally higher in london than the rest of the uk in part due to the addition of london weighting although the cost of living is higher still
Buy,Money,london like the rest of the uk uses the british pound sterling retail prices for most items with a few exceptions always include vat at 20 visa and mastercardmaestro are the two most commonlyaccepted debitcredit cards although most large shops will also accept american express if your card does not have a microchip for chip  pin some machines for instance at tube stations will be unable to read your card some shops may ask you for additional identification especially in relation to highvalue items or items that are under agerelated restrictions most shops no longer accept personal cheques contactless or nfcenabled visa and mastercard cards can also be used for purchases of usually up to £100 in lieu of chip  pin even on london underground fare gates and buses £50notes are not often used in everyday transactions and most shops will not accept them when exchanging money at a bureau de change make sure to ask for £5 £10 and £20 notes only the bank of englandsguide to bank notesmay be of use london and england are some of the worst places toexchange money included fees in the exchange rate of up to 50 are not uncommon do not get fooled by theno commissionstatement that many bureaux de change make this is a trick and actually a blunt lie because the exchange rates are just made so bad so that they cover for any necessary commissions so how do you identify a decent exchange rate basically the spread between the buy and sell rate tells you what is the fee divided by 2 actually—anything above 10 is a ripoff 5 is good 1 is excellent but forget about it in the uk you are better off withdrawing money from atms here neverattempt to change money on either leicester square or tottenham court road rates in either one of those places can be subject to interpretation by the individuals behind the counter
Buy,Shopping,london has a justified reputation for being one of the worlds most expensive cities but if you do your homework beforehand there are ways to limit the damage and prices for basic items are in general not as exorbitant as in the nordic countries or switzerland london is one of the worlds most fashionconscious cities it has an abundance of clothing shops from the flagship stores ofoxford streetto the tiny boutiques ofbrick lane though not particularly known for bargain shopping nearly anything you could possibly want to buy is available in london during major sales such as the annual boxing day sale after christmas and black friday in late november an event imported from the us you price for some items are lowered by up to 70 meaning that it is possible to find bargains for genuine luxurybranded goods if you are there at the right time in central london the main shopping district is the west end bond street covent garden oxford street and regent street on thursdays many west end stores close later than normal 78pm
Buy,Markets,borough marketis a great if expensivefood market offering fruit vegetables cheese bread meat fish and so on much of it organic the market opens thsa many stalls offer freshly made fast food on the spot for lunch from ostrich burgers to falafel most tastes are catered for tube london bridge old spitalfields marketis an excellent market for clothes from upandcoming designers records housewares food and all things trendy tube liverpool street also be sure to check outbrick lane marketgreenwich marketandportobello road market
Buy,Tax-free,taxfree shops in airports are not strong in variety prices are equal to london and they close rather early as well shop listings at airport web sites can help to plan your taxfree vs traditional shopping in the evening allow an extra half hour as closing hours are not always strictly respected nevertheless taxfree at the airport does not mean cheaper prices are determined by the shop owner at their own discretion and due to the large crowds high shop rents and free marketing there is no real reason why anyone should offer prices below average also often goods sold here have different sizes than in regular stores making it harder to compare furthermore taxfree shops mostly only offer expensive brands and no cheap nonbrand stuff like simple sun glasses either way you are better off doing your shopping somewhere else nevertheless a different matter istax reclaim many big department stores in central london have an information booth where they can give you the paperwork needed to reclaim tax on purchases made at the store when you get to the airport
Eat,,for suggestions of specific restaurants have a look into thedistrict articles it is a huge task for a visitor to find the right place to eat in london  with the right atmosphere at the right price  largely because as in any big city there are literally thousands of venues from which to choose ranging from fast food joints pubs and mainstream chains all the way up to some of the most exclusive restaurants in the world which attract the kind of clientele that dont need to ask the price sorting the good from the bad isnt easy but london has something to accommodate all budgets and tastes as london is one of the worlds most multicultural cities it is possible to find virtually every cuisine from around the world here if you look hard enough following is a rough guide to what you might get should you fancy eating out smoking ban smoking is illegal in all enclosed and indoor public spaces in the uk prices inevitably become inflated at venues closest to major tourist attractions  beware the socalled tourist traps the worst tourist trap food in the opinion of many londoners is served at the various steak houses angus steak house aberdeen steak house etc  they are all dotted around the west end and near the main train stations londoners wouldnt dream of eating here  you shouldnt either notorious areas for inflated menu prices trading on travellers gullibility and lack of knowledge are the streets around the british museum leicester square and piccadilly circus even the major fast food chains charge a premium in their west end outlets  so watch out pubs in the touristy areas of london are usually a poor choice for food although there are some brilliant gastropubs hidden away in general avoid all pubs that have graphicdesigned and printed menus look around you  see any locals tucking in no  then you shouldnt either the other rule to follow when avoiding poor food is the same as in any other part of europe  is the menu available in multiple languages if yes then start running in the suburbs the cost of eating out is reduced drastically particularly in large ethnic communities there is a competitive market which stands to benefit the consumer in east london for example the vast number of chicken shops means that a deal for 2 pieces of chicken chips fries and a drink shouldnt cost you more than £3 especially onbrick lane brick lane is also known for being home to londons version of thebeigelspelt bagel in the united states and canada but pronounced the same way withbrick lane beigel bakeandbritains first  best beigel shopbeing among the sole remnants of what was once a thriving jewish community in the neighbourhood both shops are also known for theirsalt beef londons version of jewishstyle cured meats and a popular filling in their beigel sandwiches another good and cheap lunch option is a chicken or lamb doner gyro at many outlets throughout the city though meat quality is often poor for more authentic cockney food trypie and mash which originates from the workingclass in the east end usually minced beef and cold water pastry pie served with mashed potato mushy peas and liquor gravy it tastes a lot better than it sounds some of the best pie houses arem manzein peckham orf cookein hackney broadway market water souchet and london particular greenpea and ham are classic cockney soups though hard to find on menus for those gamejellied eels pickledcockles and whelks are all traditional london seafood its peoples experiences in these kind of places that gives britain a bad name for food thesouth banksborough marketoffers wholesale produce as well as individual stalls that sell small bites and drinks for a casual and cheap mealkappacasein dairyhas a popular stand in the market famous for their grilled cheese which has earned the praise of giada de laurentiis and ruth reichl of course the quintessential british dishfish and chipsis widely available in london but the standards can be pretty disappointing in the tourist trap pubs the bestrated fish and chips shops in london are generally located in the suburbs away from all the tourist fare in central london for hamburgers local chainburger  lobsteris an excellent choice for gourmet burgers tipping may also be different than what youre used to all meals include the 20 vat tax and some places include a service fee 1012 the general rule is to leave a tip for table service unless theres already a service charge added or unless the service has been notably poor the amount tipped is generally in the region of 10 but if theres a figure between 1015 which would leave the bill at a conveniently round total many would consider it polite to tip this amount tipping for counter service or any other form of service is unusual  but some choose to do so if a tips container is provided
Eat,Restaurant streets,while central london is full of restaurants and cafes there are some areas where the majority of diners are londoners rather than tourists and in general you will get a much more pleasant better value and less crowded eating experience than you will find in the west end these places are best visited in the evenings
Eat,Restaurant areas,as one of the worlds most cosmopolitan cities you can find restaurants serving food cuisine from nearly every country some of it as good as if not better than in the countries of origin indian food in london is especially famous and there is hardly a district without at least one notable indian restaurant london also has excellent options for chinese in particular cantonese food local chainroyal chinais an excellent option if you are looking for highend fine dining dim sum if you are looking for other particular regional foods these tend to be clustered in certain areas andsomeexamples are other nationalities are equally represented and randomly dotted all over london it is usually wisest to eat in restaurants on main thoroughfares rather than on quiet backstreets
Eat,Fast food and chains,like other capitals in the world london has the usual array of fast food outlets sandwich shops are the most popular places to buy lunch and there are a lot of places to choose from including the ubiquitous pret a manger some italianstyle sandwich shops have a very good reputation and you can identify them easily by looking at the long queues at lunchtime if all else fails central london has lots of minisupermarkets operated by the big british supermarket chains eg sainsburys tesco where you can pick up a prepacked sandwich fast food with an asian flair is easy to find throughout the city with lots of busaba eathai wagamama and yo sushi locations throughout the city nandos a popular pseudoportuguese restaurant chain has spicy periperi style grilled chicken for burgers gbk gourmet burger kitchen has been joined by other franchises such as byron and haché
Eat,Vegetarian and vegan,london has plenty of vegetarian and vegan restaurants many of them championing organic foodstuffs and a quick search in google will produce plenty of ideas so you never have to see a piece of cooked meat all week hackney dalston islington soho peckham and brixton are particular vegan hotspots if you are dining with carnivorous friends most restaurants will cater for vegetarians and will have at least a couple of dishes on the menu indianbangladeshi restaurants are generally fruitful as they have plenty of traditional dishes good indianbangladeshi options can be found in the brick lane area of spitalfields or further afield in east ham tooting broadway and southall these also tend to be very cheap eats with authentically prepared dishes with a true local ambience there are also many vegetarian thai buffet places where you can eat fake meat in toothachingly sweet sauces for under £5 these can be found on greek street and old compton street insohoandislington high street mildreds is a great veggie chain with a handful of locations around london if youre interested in vegan versions of classic british dishes try fish and chips from sutton and sons inhackney and various cafes offer veggie interpretations of a full english breakfast
Eat,Religious,due to the mix of cultures and religions many london restaurants cater well for religious dietary requirements the most common signs are for halal and kosher meat from burger joints to nice restaurants there are lots of halal restaurants and shops all over london including whitechapel rd and brick lane inthe east endbayswater edgware rd and paddingtonand in many parts ofnorth london there are plenty of kosher restaurants ingolders greenedgwareandstamford hillalong with some central delis such as on charing cross road
Eat,Convenience stores and supermarkets,convenience stores such as tesco metro sainsburys centrallocal budgens costcutter spar coop and privatelyrun corner shops will sell premade sandwiches snacks alcohol cigarettes drinks etc most are open from 5am11pm although some such as tesco metro or convenience stores located at petrol stations may open 24 hours some will stop selling alcohol after a certain time whistlestop convenience stores usually found in or around train stations are notoriously overpriced and should be avoided if using a petrol station convenience store late at night ie after 11pm the store will be locked and you should order and pay through the external service window although tesco sainsburys and other supermarkets run smaller stores in central london fullsize superstores including morrisons and asda are rare in the city centre  with the exception of the sainsburys in pimlico  and you will usually have to take a 15 to 20minute tube ride to reach one the closest large stores to central london are marks  spencer an upmarket retailer also operate food halls branded as simply food they can be foundacross central london the smaller stores such as those found in train stations tend to focus mostly on readytoeat food such as sandwiches drinks snacks and also essentials such as bread and milk
Drink,,london is home to a great many pubs bars and nightclubs the online city guideview londonand the weekly magazinetime outtell whats going in londons night life as well as cultural events in general
